,,Office of the President,,,,,,"$7,600.00",,,,,,,
,,,Initiatives,,,"$1,500.00",,,,,,,,,
,,,Outreach and Marketing,,,$800.00,,,,,,,,,
,,,Travel,,,"$5,000.00",,,,,,,,,
,,,Operating,,,$300.00,,,,,,,,,
,,Office of Student Advocacy,,,,,,"$4,600.00",,,,,,,
,,,Operating Funds,,,$300.00,,,,,,,,,
,,,Outreach and Marketing,,,"$3,000.00",,,Increased by 5000,,,,,,
,,,Leadership Development,,,"$1,300.00",,,,,,,,,
,,Office of College Affairs,,,,,,"$36,050.00",,,,,,,
,,,Mixers (3),,,$0.00,,,,,,,,,
,,,College Council Visits,,,$200.00,,,,,,,,,
,,,Council Peer Meetups,,,$550.00,,,Increased by 0,,,,,,
,,,Operating,,,$200.00,,,,,,,,,
,,,Sun God Kits,,,$600.00,,,,,,,,,
,,,Marketing,,,$200.00,,,,,,,,,
,,,All Council Retreat,,,"$2,000.00",,,Increased by 5170,,,,,,
,,,Programming,,,"$2,000.00",,,,,,,,,
,,,Leadership Development,,,$0.00,,,,,,,,,
,,,Know Your Councils,,,$300.00,,,,,,,,,
,,,Muir Musical,,,"$30,000.00",,,,,,,,,
,,Office of Academic Affairs,,,,,,"$1,500.00",,,,,,,
,,,Programming,,,"$1,000.00",,,,,,,,,
,,,A.S. Grants,,,$0.00,,,,,,,,,
,,,Marketing,,,$500.00,,,,,,,,,
,,Office of Food and Housing Resources,,,,,,"$5,100.00",,,,,,,
,,,Marketing,,,"$1,250.00",,,,,,,,,
,,,Programming,,,"$2,650.00",,,,,,,,,
,,,Outreach ,,,$700.00,,,Increased by 1300,,,,,,
,,,Supplies,,,$500.00,,,,,,,,,
,,,Triton Food Pantry,,,,,"$30,000.00",,,,,,,
,,,,Operations,,"$30,000.00",,,,,,,,,
,,Office of Transportation and Transformation,,,,,,"$3,600.00",Increased by 4750,,,,,,
,,,Operating,,,$800.00,,,,,,,,,
,,,Programming,,,"$1,400.00",,,,,,,,,
,,,Travel,,,$300.00,,,,,,,,,
,,,Leadership Development,,,$800.00,,,,,,,,,
,,,Marketing,,,$300.00,,,,,,,,,
,Office of Campus Affairs,,,,,,,"$1,312,007.00",,,,,,,
,,Office of Campus Affairs,,,,,,"$43,057.00",Increased by 2850,,,,,,
,,,A.S. Retreat,,,"$7,000.00",,,,,,,,,
,,,A.S. Chill and Grill,,,$700.00,,,,,,,,,
,,,A.S. Visibility,,,$700.00,,,,,,,,,
,,,Town Halls (8),,,"$2,400.00",,,,,,,,,
,,,Office Development,,,$180.00,,,,,,,,,
,,,AS Leadership Symposium,,,"$1,300.00",,,,,,,,,
,,,Initiatives,,,$400.00,,,Increased by 31580,,,,,,
,,,Leadership Development,,,"$1,257.00",,,,,,,,,
,,,Marketing and Outreach,,,"$2,820.00",,,,,,,,,
,,,A.S. Fellowship,,,"$3,000.00",,,,,,,,,
,,,Triton Dine (3),,,"$23,300.00",,,,,,,,,
,,Office of Concerts and Events,,,,,,"$1,201,000.00",,,,,,,
,,,Sun God Festival,,,"$780,000.00",,,,,,,,,
,,,Sun God Festival Contingency,,,"$20,000.00",,,,,,,,,
,,,Music Licensing Fees,,,"$12,000.00",,,,,,,,,
,,,Horizon,,,"$140,000.00",,,,,,,,,
,,,Fall Y'all,,,"$100,000.00",,,,,,,,,
,,,Special Events,,,"$58,000.00",,,,,,,,,
,,,Bear Gardens (4),,,"$64,000.00",,,Increased by 300,,,,,,
,,,Bear Garden Senior Sendoff,,,"$22,000.00",,,,,,,,,
,,,Marketing,,,"$3,500.00",,,,,,,,,
,,,Leadership Development,,,"$1,500.00",,,,,,,,,
,,"Office of Equity, Diversity, and Inclusion",,,,,,"$23,300.00",,,,,,,
,,,Outreach and Marketing,,,"$1,000.00",,,,,,,,,
